,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1557,198.018,205.352,216.353,223.687,234.688,234.688,234.688,245.689,249.356,264.024,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,260.357,..,..,..
1558,450076.579,449053.486,467648.843,477920.11,454491.647,459790.462,467883.531,483233.593,478880.864,477868.772,537402.517,527131.25,521832.435,553478.645,555865.862,562796.492,548704.211,544171.799,544091.125,..,..,..
1559,42966.239,42350.183,43325.605,41022.729,41470.103,39387.247,40025.305,41580.113,41913.81,40700.033,39093.887,42999.242,40769.706,40241.658,40443.343,41374.761,41877.14,38019.456,40392.005,..,..,..
1560,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1561,34902.506,32991.999,34117.768,36288.632,40146.316,43611.631,49526.502,57054.853,58987.362,62225.323,60094.796,54018.577,56072.097,56409.461,62434.342,63805.8,65697.972,70098.372,73108.979,..,..,..
1562,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7031916.207,..,..,..
1563,5797.527,5636.179,4624.087,5892.869,5251.144,7132.315,8379.095,8173.743,6912.295,6266.903,6791.284,7726.369,7286.329,5460.163,7664.03,7825.378,7139.649,6384.247,7014.971,..,..,..
1564,1738.158,1111.101,3795.345,3898.021,3817.347,4363.73,4602.085,3215.959,3208.625,3080.28,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,4264.721,6167.894,5302.482,..,..,..
1565,1188.108,1265.115,1573.143,1543.807,2148.862,1565.809,1716.156,2343.213,777.404,821.408,1048.762,861.745,707.731,1085.432,1903.173,1606.146,1463.133,1591.478,1936.176,..,..,..
1566,22.002,22.002,22.002,22.002,22.002,22.002,22.002,22.002,22.002,29.336,29.336,33.003,29.336,33.003,55.005,62.339,66.006,66.006,69.673,..,..,..
1567,57337.212,57120.859,62049.307,64022.153,67571.809,59610.752,60523.835,64905.9,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,53772.888,59178.046,61561.596,63439.1,67700.154,..,..,..
1568,77.007,77.007,77.007,77.007,77.007,80.674,66.006,66.006,73.34,80.674,84.341,88.008,91.675,99.009,102.676,110.01,121.011,121.011,124.678,..,..,..
1569,88.008,91.675,102.676,102.676,110.01,113.677,139.346,143.013,154.014,172.349,187.017,209.019,245.689,253.023,264.024,293.36,308.028,311.695,308.028,..,..,..
1570,2955.602,3336.97,3791.678,3953.026,5269.479,4866.109,4748.765,4987.12,5317.15,5522.502,5474.831,5760.857,6325.575,6626.269,6930.63,6941.631,7436.676,8118.738,8016.062,..,..,..
1571,33340.364,29633.027,31338.182,29347.001,32199.927,25657.999,26959.784,24605.57,24444.222,25276.631,26039.367,25452.647,26090.705,25485.65,23985.847,24634.906,27168.803,26838.773,31418.856,..,..,..
1572,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1573,253.023,275.025,278.692,289.693,289.693,289.693,286.026,286.026,286.026,282.359,454.708,454.708,469.376,480.377,495.045,517.047,535.382,539.049,557.384,..,..,..
1574,4653.423,4741.431,5276.813,5665.515,5812.195,5716.853,5936.873,6109.222,6640.937,6754.614,6849.956,6846.289,7022.305,7748.371,7334,7502.682,7788.708,8195.745,8555.111,..,..,..
1575,..,..,139503.681,131964.329,127688.607,129470.769,132558.383,130090.492,125525.077,111931.508,124648.664,124406.642,120193.259,122378.791,122708.821,120735.975,122785.828,123944.6,116995.635,..,..,..
1576,55.005,960992.355,928326.719,911425.516,903622.14,901524.616,924014.327,900318.173,895532.738,824466.278,832100.972,855756.789,830909.197,835657.962,828521.98,809596.593,811881.134,787235.227,786659.508,..,..,..
1577,399.703,399.703,414.371,429.039,429.039,429.039,436.373,440.04,410.704,443.707,403.37,385.035,399.703,407.037,458.375,473.043,487.711,487.711,524.381,..,..,..
1578,58.672,58.672,58.672,62.339,69.673,80.674,73.34,80.674,77.007,80.674,102.676,113.677,102.676,113.677,110.01,113.677,110.01,150.347,128.345,..,..,..
1579,50421.25,61433.251,54528.29,57337.212,61194.896,55298.36,68704.912,57065.854,56068.43,50930.963,47252.962,49035.124,51899.051,55947.419,50476.255,46867.927,54418.28,49695.184,46024.517,..,..,..
1580,9570.87,10135.588,11206.352,11939.752,12676.819,16105.464,17546.595,18239.658,18683.365,18870.382,20117.162,20234.506,21499.621,21521.623,19999.818,19761.463,20813.892,21363.942,21616.965,..,..,..
1581,78895.505,81458.738,82261.811,82474.497,86350.516,94692.941,96566.778,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,107303.754,112741.915,111304.451,..,..,..
1582,16835.197,16486.832,22302.694,24187.532,13637.573,22812.407,23890.505,18276.328,22229.354,21272.267,20942.237,23446.798,24689.911,26523.411,28657.605,29299.33,29842.046,30898.142,26824.105,..,..,..
1583,75943.57,78715.822,81264.387,93156.468,85312.755,95723.368,102030.608,108202.169,122243.112,125393.065,141326.18,125451.737,127193.562,158880.109,160581.597,174640.875,187504.711,199220.776,210320.785,..,..,..
1584,..,..,..,..,183.35,297.027,348.365,528.048,590.387,619.723,608.722,630.724,605.055,726.066,770.07,766.403,561.051,579.386,414.371,..,..,..
1585,227592.355,235080.369,245098.613,226954.297,244658.573,257229.049,254328.452,264460.373,274683.969,282384.669,294441.765,297833.74,314525.924,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,..,..,..
1586,..,..,23028.76,18628.36,18661.363,16754.523,18808.043,18613.692,17143.225,15474.74,15559.081,15984.453,15471.073,17553.929,17839.955,17462.254,16945.207,19952.147,18290.996,..,..,..
1587,3017.941,2984.938,2966.603,5163.136,3003.273,2152.529,3729.339,4275.722,5027.457,5075.128,5830.53,4308.725,4481.074,4946.783,5196.139,5489.499,5995.545,6560.263,7106.646,..,..,..
1588,50941.964,54891.323,49126.799,51935.721,59412.734,52328.09,61385.58,60083.795,56988.847,55423.038,52141.073,56424.129,61077.552,68888.262,66970.421,54605.297,66075.673,63923.144,56512.137,..,..,..
1589,817.741,674.728,733.4,773.737,828.742,887.414,920.417,759.069,729.733,832.409,861.745,1122.102,858.078,1657.484,1888.505,1635.482,1565.809,1459.466,1254.114,..,..,..
1590,399028.272,427667.542,397037.091,389105.37,369457.584,393289.417,408126.099,379486.829,409094.187,371309.419,365559.563,385808.737,380447.583,387147.192,389706.758,391826.284,382281.083,374283.356,376985.935,..,..,..
1591,623.39,594.054,660.06,597.721,520.714,634.391,652.726,656.393,663.727,671.061,656.393,660.06,667.394,674.728,674.728,682.062,689.396,696.73,707.731,..,..,..
1592,..,..,..,..,..,..,..,..,..,55.005,55.005,55.005,55.005,55.005,55.005,55.005,55.005,62.339,62.339,..,..,..
1593,4844.107,1477.801,2130.527,3281.965,3351.638,3857.684,3534.988,3545.989,1631.815,1437.464,1052.429,1782.162,1778.495,1334.788,1481.468,1785.829,1782.162,1976.513,2471.558,..,..,..
1594,570218.5,593808.311,587453.4,567523.255,563775.581,564523.649,580680.451,554215.712,554138.705,535550.682,543662.086,550552.379,531942.354,540636.811,545719.273,542473.978,543273.384,529621.143,522855.528,..,..,..
1595,..,..,15335.394,9952.238,6083.553,2302.876,4066.703,4437.07,4961.451,4345.395,4536.079,3769.676,3388.308,3773.343,3927.357,4734.097,5496.833,6028.548,5203.473,..,..,..
1596,3931.024,4044.701,4096.039,4664.424,5071.461,5427.16,5757.19,6395.248,6409.916,6560.263,6299.906,6919.629,7414.674,7601.691,7278.995,7007.637,9350.85,9636.876,8591.781,..,..,..
1597,95.342,106.343,91.675,333.697,399.703,348.365,194.351,121.011,311.695,322.696,333.697,344.698,344.698,355.699,366.7,377.701,392.369,407.037,421.705,..,..,..
1598,1056.096,1074.431,1074.431,1103.767,1228.445,1250.447,1272.449,1279.783,1243.113,1272.449,1279.783,1298.118,1323.787,1342.122,1342.122,1360.457,1360.457,1389.793,1393.46,..,..,..
1599,190.684,198.018,198.018,209.019,209.019,216.353,216.353,216.353,234.688,256.69,275.025,282.359,315.362,315.362,322.696,322.696,337.364,396.036,410.704,..,..,..
1600,253.023,256.69,260.357,278.692,278.692,282.359,286.026,308.028,216.353,245.689,198.018,198.018,209.019,249.356,256.69,264.024,275.025,286.026,282.359,..,..,..
1601,121.011,201.685,216.353,102.676,36.67,132.012,117.344,293.36,168.682,473.043,454.708,3094.948,4979.786,6017.547,4679.092,4712.095,4752.432,4796.436,4814.771,..,..,..
1602,72723.944,67615.813,75503.53,75646.543,78363.79,79185.198,80395.308,84572.021,87809.982,86636.542,91616.328,93805.527,93669.848,95738.036,97149.831,98675.303,97285.51,98213.261,97813.558,..,..,..
1603,121.011,121.011,128.345,143.013,165.015,172.349,176.016,205.352,190.684,205.352,205.352,220.02,216.353,227.354,216.353,234.688,245.689,245.689,245.689,..,..,..
1604,557.384,550.05,484.044,502.379,506.046,506.046,517.047,524.381,531.715,542.716,531.715,539.049,539.049,535.382,498.712,630.724,579.386,638.058,575.719,..,..,..
1605,5086.129,5053.126,6017.547,5658.181,6838.955,7165.318,6651.938,7598.024,8753.129,8929.145,9915.568,10626.966,11173.349,10670.97,11206.352,12156.105,12288.117,12926.175,11914.083,..,..,..
1606,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1607,1140.437,1122.102,1052.429,1056.096,1334.788,1481.468,1529.139,1602.479,1653.817,1650.15,1580.477,1518.138,1547.474,1521.805,1463.133,1514.471,1525.472,1525.472,1525.472,..,..,..
1608,27660.181,28892.293,33428.372,35129.86,31429.857,31620.541,29365.336,30854.138,39233.233,42753.553,40582.689,37971.785,36952.359,40065.642,38415.492,40549.686,38554.838,39962.966,38573.173,..,..,..
1609,2592.569,2698.912,3076.613,2849.259,3336.97,3879.686,3960.36,4158.378,4649.756,4741.431,5031.124,5713.186,6090.887,6769.282,7367.003,7620.026,7308.331,9035.488,8672.455,..,..,..
1610,..,..,16442.828,16428.16,16875.534,17612.601,18518.35,19295.754,20417.856,20491.196,19644.119,20714.883,21877.322,23542.14,23047.095,23105.767,23175.44,24367.215,23303.785,..,..,..
1611,993.757,997.424,909.416,663.727,300.694,942.419,1092.766,1422.796,1232.112,1331.121,1367.791,1569.476,1826.166,1734.491,1987.514,2075.522,2119.526,2398.218,2434.888,..,..,..
1612,62991.726,63435.433,58716.004,60124.132,58066.945,60054.459,62702.033,61807.285,60853.865,60362.487,57256.538,57021.85,56031.76,59009.364,57311.543,57879.928,57227.202,55848.41,54638.3,..,..,..
1613,149565.929,179730.671,202576.081,218600.871,221413.46,224941.114,253290.691,278658.997,210210.775,237595.931,258120.13,289065.943,303506.589,311885.684,333733.67,336311.571,338134.07,368617.841,406028.575,..,..,..
1614,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1615,690576.774,737851.738,783634.233,814297.687,864931.623,920046.633,1002224.103,1043939.895,1071911.771,1144390.026,1186663.202,1203843.097,1226791.183,1281913.527,1346595.74,1411127.606,1504364.748,1612383.567,1742697.746,..,..,..
1616,30417.765,33109.343,31253.841,31286.844,32691.305,32892.99,35008.849,36552.656,38140.467,40098.645,40949.389,43780.313,43457.617,42694.881,43211.928,43211.928,43112.919,44411.037,43604.297,..,..,..
1617,227185.318,233745.581,247471.162,229678.878,296744.641,284918.566,286645.723,290617.084,316176.074,316671.119,339241.504,357085.126,375211.107,412317.48,442471.221,458866.378,492349.755,506346.694,538403.608,..,..,..
1618,52555.444,47421.644,61671.606,66801.739,75045.155,77901.748,69500.651,68308.876,72371.912,72283.904,72445.252,85342.091,87259.932,91117.616,98979.664,97527.532,100853.501,100494.135,102936.357,..,..,..
1619,2071.855,2024.184,1892.172,1991.181,2009.516,1939.843,2211.201,2104.858,2101.191,2068.188,2163.53,2101.191,2170.864,2167.197,2233.203,2203.867,2233.203,2339.546,2229.536,..,..,..
1620,33534.715,34315.786,41499.439,45148.104,47120.95,54234.93,54399.945,63402.43,62779.04,62155.65,62691.032,65749.31,63145.74,65122.253,63200.745,59211.049,65778.646,36816.68,37663.757,..,..,..
1621,424183.892,433974.782,432959.023,422680.422,412163.466,437623.447,428294.599,432302.63,441752.489,437018.392,446156.556,447054.971,449284.507,468349.24,470490.768,471400.184,468268.566,459376.091,445118.795,..,..,..
1622,7964.724,8173.743,8096.736,8415.765,8632.118,9702.882,10197.927,10630.633,9728.551,9772.555,10318.938,10626.966,10300.603,10722.308,10714.974,10128.254,12086.432,13894.263,12203.776,..,..,..
1623,10403.279,9798.224,12266.115,12101.1,13633.906,13556.899,14187.623,14418.644,14543.322,14568.991,15507.743,16002.788,16886.535,17469.588,19240.749,21026.578,20733.218,21495.954,21382.277,..,..,..
1624,1094705.843,1100598.712,1123660.475,1108673.446,1174169.733,1184088.968,1205782.94,1201778.576,1159186.371,1197880.555,1219592.862,1202266.287,1216761.938,1237242.133,1259658.504,1238188.219,1231770.969,1251187.734,1208162.823,..,..,..
1625,..,..,261306.753,221105.432,199488.467,166731.156,140691.789,129580.779,125063.035,116493.256,127769.281,147908.445,151945.812,153815.982,172158.316,177233.444,192121.464,227401.671,236954.206,..,..,..
1626,5823.196,4840.44,5540.837,6347.577,6556.596,7554.02,9328.848,8265.418,10036.579,10172.258,10417.947,9369.185,7968.391,6754.614,7623.693,8562.445,9574.537,9831.227,10392.278,..,..,..
1627,..,..,10861.654,8305.755,6061.551,4473.74,5588.508,5482.165,5823.196,4561.748,4528.745,3780.677,4847.774,5276.813,5606.843,5185.138,5170.47,6461.254,6208.231,..,..,..
1628,451.041,462.042,476.71,476.71,539.049,1437.464,1628.148,1906.84,2233.203,2196.533,2255.205,2643.907,2860.26,3127.951,3498.318,3722.005,4074.037,4440.737,4602.085,..,..,..
1629,22.002,22.002,22.002,22.002,22.002,22.002,36.67,29.336,33.003,29.336,33.003,25.669,25.669,25.669,25.669,25.669,29.336,33.003,29.336,..,..,..
1630,66.006,73.34,73.34,84.341,88.008,95.342,102.676,102.676,102.676,102.676,102.676,183.35,198.018,220.02,227.354,234.688,234.688,249.356,249.356,..,..,..
1631,243815.163,268431.734,286568.716,317085.49,340352.605,370781.371,401030.454,423175.467,363839.74,395005.573,432460.311,440216.016,465584.322,465771.339,482276.506,462918.413,470820.798,498205.954,509170.284,..,..,..
1632,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1633,45423.129,10579.295,17612.601,29376.337,34436.797,50329.575,47674.667,49361.487,51088.644,53314.513,59112.04,55144.346,52727.793,61653.271,69529.987,77216.019,71950.207,73002.636,76742.976,..,..,..
1634,234.688,253.023,278.692,278.692,300.694,315.362,535.382,718.732,894.748,902.082,1059.763,1199.109,1323.787,1356.79,1397.127,1426.463,1518.138,1536.473,1532.806,..,..,..
1635,9097.827,9497.53,11356.699,11657.393,12742.825,13619.238,13798.921,15647.089,16178.804,16600.509,15353.729,16208.14,16039.458,18221.323,16835.197,17539.261,15027.366,15504.076,17099.221,..,..,..
1636,484.044,286.026,289.693,322.696,319.029,333.697,344.698,355.699,388.702,407.037,436.373,502.379,502.379,531.715,627.057,740.734,759.069,678.395,608.722,..,..,..
1637,40318.665,42489.529,40571.688,42636.209,41862.472,45841.167,41840.47,48598.751,48133.042,47230.96,49753.856,51073.976,47623.329,49167.136,50318.574,52093.402,53780.222,54201.927,58330.969,..,..,..
